attribute_Decimal,attribute_bool,attribute_Int,attribute_string,attribute_datetime,attribute_timeuuid
-221714.81,TRUE,1625634,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8412
-61841.89,FALSE,460844,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03867
-48024.01,TRUE,360171,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7993
-81739.64,FALSE,605814,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03915
-257364.95,TRUE,1885372,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8498
-383107.7,TRUE,2801499,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04642
-256121.35,TRUE,1876311,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8495
-208035.11,TRUE,1525968,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8379
-121535.15,FALSE,895753,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04011
-175839.44,FALSE,1291399,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04142
-245757.93,TRUE,1800806,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8470
-190348.22,TRUE,1397106,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04177
-423179.57,TRUE,3093452,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8898
-198086.23,TRUE,1453483,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8355
-349392.06,TRUE,2555856,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8720
-29784.4,TRUE,227282,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7949
-205686.07,FALSE,1508853,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04214
-312636.49,FALSE,2288065,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04472
-92517.59,FALSE,684339,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03941
-324243.51,FALSE,2372631,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04500
-190210.04,TRUE,1396099,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8336
-423594.1,TRUE,3096472,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8899
-179570.27,FALSE,1318581,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04151
-110619.02,TRUE,816221,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8144
-273117.34,TRUE,2000139,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8536
-276157.28,TRUE,2022287,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04384
-455927.95,TRUE,3332047,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8977
-383798.6,TRUE,2806533,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8803
-87957.69,FALSE,651117,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03930
-419863.27,TRUE,3069290,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8890
-281960.79,FALSE,2064570,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04398
-346075.77,TRUE,2531694,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8712
-225860.18,TRUE,1655836,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8422
-136873,TRUE,1007500,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04048
-81186.93,TRUE,601787,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8073
-22322.74,TRUE,172918,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7931
-337923.22,FALSE,2472297,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04533
-109099.06,FALSE,805147,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03981
-380067.77,TRUE,2779351,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8794
-35173.37,TRUE,266544,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7962
-304207.58,TRUE,2226654,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8611
-251699.62,FALSE,1844096,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04325
-108546.34,TRUE,801120,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8139
-388496.68,FALSE,2840762,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04655
-67230.87,TRUE,500107,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03880
-176530.33,TRUE,1296433,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8303
-227518.32,TRUE,1667917,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8426
-130931.31,TRUE,964211,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8193
-11130.26,TRUE,91373,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7904
-120567.9,TRUE,888706,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8168
-204442.46,FALSE,1499793,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04211
-218122.16,FALSE,1599459,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04244
-204856.99,FALSE,1502813,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04212
-215496.77,TRUE,1580331,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8397
-423317.75,FALSE,3094458,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04739
-293429.63,TRUE,2148129,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8585
-3392.24,FALSE,34996,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03726
-190762.75,FALSE,1400126,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04178
-128167.74,TRUE,944076,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04027
-203060.67,TRUE,1489725,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8367
-247968.79,FALSE,1816914,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04316
-395543.8,TRUE,2892105,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04672
-451368.05,TRUE,3298825,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8966
-344141.27,FALSE,2517600,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04548
-448466.3,TRUE,3277684,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8959
-210107.79,TRUE,1541069,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8384
-217983.98,TRUE,1598453,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8403
-7537.61,TRUE,65198,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03736
-306003.91,TRUE,2239742,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04456
-221438.46,TRUE,1623621,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04252
-302687.62,FALSE,2215580,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04448
-399550.98,TRUE,2921300,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8841
-139774.76,FALSE,1028642,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04055
-38627.85,TRUE,291713,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03811
-386285.82,TRUE,2824654,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8809
-39318.74,TRUE,296746,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7972
-222958.42,TRUE,1634695,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8415
-130654.96,TRUE,962197,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04033
-370533.43,TRUE,2709886,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8771
-248659.69,TRUE,1821947,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8477
-313051.03,FALSE,2291085,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04473
-160777.94,TRUE,1181665,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8265
-86161.37,TRUE,638029,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8085
-137287.54,FALSE,1010520,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04049
-225445.64,TRUE,1652816,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8421
-351050.21,TRUE,2567937,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8724
-130516.78,TRUE,961190,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8192
-375507.87,TRUE,2746129,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8783
-9057.57,TRUE,76272,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7899
-105782.76,TRUE,780985,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03973
-357268.26,TRUE,2613240,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8739
-104400.98,TRUE,770918,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8129
-235947.23,FALSE,1729328,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04287
-89063.12,TRUE,659170,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8092
-117389.79,FALSE,865551,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04001
-101499.22,TRUE,749776,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8122
-42773.21,FALSE,321915,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03821
-177912.12,TRUE,1306500,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04147
-74139.81,TRUE,550443,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8056
-195322.65,TRUE,1433348,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04189
-414059.76,TRUE,3027007,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8876
-96939.32,TRUE,716554,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8111
-412401.62,TRUE,3014926,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8872
-259575.82,FALSE,1901479,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04344
-325348.95,TRUE,2380684,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8662
-97353.85,TRUE,719574,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8112
